"code","long_desc","sub_code","major","sub_chapter","chapter"
"41000","Acute myocardial infarction of anterolateral wall, episode of care unspecified","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41001","Acute myocardial infarction of anterolateral wall, initial episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41002","Acute myocardial infarction of anterolateral wall, subsequent episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41010","Acute myocardial infarction of other anterior wall, episode of care unspecified","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41011","Acute myocardial infarction of other anterior wall, initial episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41012","Acute myocardial infarction of other anterior wall, subsequent episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41020","Acute myocardial infarction of inferolateral wall, episode of care unspecified","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41021","Acute myocardial infarction of inferolateral wall, initial episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41022","Acute myocardial infarction of inferolateral wall, subsequent episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41030","Acute myocardial infarction of inferoposterior wall, episode of care unspecified","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41031","Acute myocardial infarction of inferoposterior wall, initial episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41032","Acute myocardial infarction of inferoposterior wall, subsequent episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41040","Acute myocardial infarction of other inferior wall, episode of care unspecified","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41041","Acute myocardial infarction of other inferior wall, initial episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41042","Acute myocardial infarction of other inferior wall, subsequent episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41050","Acute myocardial infarction of other lateral wall, episode of care unspecified","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41051","Acute myocardial infarction of other lateral wall, initial episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41052","Acute myocardial infarction of other lateral wall, subsequent episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41060","True posterior wall infarction, episode of care unspecified","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41061","True posterior wall infarction, initial episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41062","True posterior wall infarction, subsequent episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41070","Subendocardial infarction, episode of care unspecified","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41071","Subendocardial infarction, initial episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41072","Subendocardial infarction, subsequent episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41080","Acute myocardial infarction of other specified sites, episode of care unspecified","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41081","Acute myocardial infarction of other specified sites, initial episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41082","Acute myocardial infarction of other specified sites, subsequent episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41090","Acute myocardial infarction of unspecified site, episode of care unspecified","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41091","Acute myocardial infarction of unspecified site, initial episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"41092","Acute myocardial infarction of unspecified site, subsequent episode of care","410","Acute myocardial infarction","Ischemic Heart Disease","Diseases Of The Circulatory System"
"4200","Acute pericarditis in diseases classified elsewhere","420","Acute pericarditis","Other Forms Of Heart Disease","Diseases Of The Circulatory System"
"4209","Other and unspecified acute pericarditis","420","Acute pericarditis","Other Forms Of Heart Disease","Diseases Of The Circulatory System"
"42090","Acute pericarditis, unspecified","420","Acute pericarditis","Other Forms Of Heart Disease","Diseases Of The Circulatory System"
"42091","Acute idiopathic pericarditis","420","Acute pericarditis","Other Forms Of Heart Disease","Diseases Of The Circulatory System"
"42099","Other acute pericarditis","420","Acute pericarditis","Other Forms Of Heart Disease","Diseases Of The Circulatory System"
